id,name,calories,protein,carbs,fat,ingredients,tags
1,Greek Yogurt Parfait,240,15,32,6,"greek yogurt,granola,honey,blueberries","vegetarian,gluten-free,high-protein"
2,Grilled Salmon Salad,380,42,12,18,"salmon,lettuce,tomato,cucumber,olive oil,lemon","pescatarian,gluten-free,high-protein,healthy"
3,Chicken Caesar Wrap,520,38,45,18,"chicken,tortilla,lettuce,parmesan,caesar dressing",high-protein
4,Quinoa Buddha Bowl,420,16,58,14,"quinoa,chickpeas,avocado,kale,tahini","vegan,gluten-free,healthy"
5,Beef Stir Fry,480,35,28,24,"beef,broccoli,bell pepper,soy sauce,garlic,ginger","high-protein,gluten-free"
6,Vegetable Omelette,320,22,8,22,"eggs,spinach,mushrooms,cheese,onion","vegetarian,gluten-free,keto,high-protein"
7,Turkey Club Sandwich,450,32,42,16,"turkey,bacon,lettuce,tomato,bread,mayonnaise",high-protein
8,Tofu Pad Thai,440,18,52,16,"tofu,rice noodles,peanuts,bean sprouts,lime",vegan
9,Grilled Chicken Breast,280,52,0,8,"chicken,olive oil,herbs,rosemary","gluten-free,high-protein,keto,low-carb"
10,Avocado Toast,340,12,36,18,"avocado,whole grain bread,eggs",vegetarian
11,Shrimp Tacos,380,28,38,12,"shrimp,tortilla,cabbage,lime,cilantro",pescatarian
12,Lentil Soup,280,18,42,4,"lentils,carrots,celery,onion,vegetable broth","vegan,gluten-free,healthy"
13,Protein Pancakes,380,28,44,8,"protein powder,eggs,banana,oats","vegetarian,high-protein"
14,Tuna Salad,240,32,6,10,"tuna,lettuce,celery,mayonnaise,lemon","pescatarian,gluten-free,low-carb,high-protein"
15,Chicken Fajitas,460,36,42,14,"chicken,bell peppers,onions,tortilla,sour cream",high-protein
16,Spinach Smoothie Bowl,280,14,48,6,"spinach,banana,protein powder,almond milk,granola","vegetarian,gluten-free"
17,Baked Cod with Vegetables,320,38,18,10,"cod,asparagus,zucchini,lemon,olive oil","pescatarian,gluten-free,high-protein,healthy"
18,Black Bean Burrito,480,20,68,14,"black beans,rice,cheese,tortilla,salsa",vegetarian
